City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
6,Luwuk,ID,78.87,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
11,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,People ThankYou
17,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Sabang,ID,81.93,scattered clouds,5.8933,95.3214,Hotel Citra
22,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
24,Geraldton,AU,84.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
25,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
29,Cabo Rojo,PR,78.67,broken clouds,18.0866,-67.1457,Hotel Perichi's
45,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
47,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
51,Pemangkat,ID,75.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
53,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Puerto Ayora,EC,76.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
69,Busselton,AU,81.05,scattered clouds,-33.65,115.3333,Observatory Guest House
71,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
82,Carnarvon,AU,80.91,few clouds,-24.8667,113.6333,Hospitality Carnarvon
85,Fuerte Olimpo,PY,78.89,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
86,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
87,Kavieng,PG,81.54,light rain,-2.5744,150.7967,Nusa Island Retreat
89,Samarai,PG,82.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
91,Vao,NC,78.53,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
107,Monte Alegre,BR,75.79,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
111,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
113,Balabac,PH,80.38,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
114,Guinguineo,SN,84.02,clear sky,14.2667,-15.95,
130,Saint-Philippe,RE,80.15,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
134,Santiago Del Estero,AR,82.13,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
139,Port-Gentil,GA,80.02,broken clouds,-0.7193,8.7815,Fengshui Residence
140,Salinopolis,BR,78.71,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
142,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
146,Vanimo,PG,79.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
150,Alofi,NU,81.45,light rain,-19.0595,-169.9187,Taloa Heights
154,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
155,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
162,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
163,Inhambane,MZ,77.11,clear sky,-23.865,35.3833,Oceano
167,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
176,Ca Mau,VN,76.59,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
178,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
183,Palmares,BR,75.9,overcast clouds,-8.6833,-35.5917,Destak Hotel Residence
187,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
188,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
192,Pochutla,MX,84.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
210,Saint-Pierre,RE,80.24,very heavy rain,-21.3393,55.4781,Lindsey Hôtel
215,Namatanai,PG,81.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
216,Sola,VU,81.27,light intensity shower rain,-13.8833,167.55,Leumerus Bungalows
222,Byron Bay,AU,77.05,light rain,-28.65,153.6167,Backpackers Inn
225,Bull Savanna,JM,75.79,few clouds,17.8868,-77.5902,Big Red's
230,Dingle,PH,75.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
232,Bima,ID,77.25,broken clouds,-8.4667,118.7167,Lambitu Hotel
234,Toamasina,MG,75.2,scattered clouds,-18.1667,49.3833,Hotel H1
238,Puerto Quijarro,BO,76.8,overcast clouds,-17.7833,-57.7667,Hotel palance
246,Tucuman,AR,80.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
251,Huatulco,MX,83.07,clear sky,15.8436,-96.3267,Fonatur Operadora Portuaría
264,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
278,Imbituba,BR,78.69,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
279,Poum,NC,82.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
295,Cockburn Town,TC,75.38,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
297,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
309,Riberalta,BO,80.8,broken clouds,-10.9833,-66.1,Hotel Colonial
319,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
327,Ugoofaaru,MV,80.13,few clouds,5.6667,73,Ungoofaaru Inn
328,Richards Bay,ZA,78.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
335,San Luis,AR,83.68,few clouds,-33.295,-66.3356,Huarpes Hotel
336,Omboue,GA,76.23,overcast clouds,-1.5746,9.2618,Hotel Olako
342,Sinnamary,GF,76.66,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
348,Tartagal,AR,79.81,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
350,Tabatinga,BR,80.69,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
363,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
364,Zaraza,VE,79.86,broken clouds,9.3503,-65.3245,Hotel Zaraza
367,Rio Grande,BR,76.89,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
368,Kirakira,SB,82.08,overcast clouds,-10.4544,161.9205,SanBiz Lodge
370,Asaba,NG,80.53,few clouds,6.2006,6.7338,Crimson Suite Hotels
371,Basco,PH,75.47,broken clouds,20.4487,121.9702,Nathaniel's Lodge
378,Cururupu,BR,76.15,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
380,Raga,SS,75.33,broken clouds,8.4596,25.678,
383,Luanda,AO,76.6,broken clouds,-8.8368,13.2343,Hotel Fórum
384,Sarandi,BR,78.35,broken clouds,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
385,Tambura,SS,76.33,overcast clouds,5.6,27.4667,Rikito Lodge
387,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
391,Merauke,ID,81.86,overcast clouds,-8.4667,140.3333,
397,Gogrial,SS,80.51,overcast clouds,8.5332,28.1004,
399,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
400,Boyolangu,ID,76.03,overcast clouds,-8.1181,111.8935,Yos ega cv
411,Caravelas,BR,77.49,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
412,Santa Marta,CO,84.25,few clouds,11.2408,-74.199,Hotel La Ballena Azul
420,Barcarena,BR,77.05,overcast clouds,-1.5058,-48.6258,Dos Santos Hotel
424,Ahipara,NZ,75.99,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
425,Kokopo,PG,80.64,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
426,Abomey-Calavi,BJ,82.26,dust,6.4485,2.3557,Miras Hôtel
427,Paciran,ID,76.39,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
430,Cidreira,BR,76.21,broken clouds,-30.1811,-50.2056,Hotel Castelo
432,Luganville,VU,79.14,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
448,Harper,LR,79.75,clear sky,4.375,-7.7169,Screensaver
458,Parana,AR,80.56,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
470,Biak,ID,77.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
472,Hobyo,SO,75.96,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
476,Ambilobe,MG,75.65,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
480,Santa Rosa,PH,79.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
494,Maputo,MZ,80.28,few clouds,-25.9653,32.5892,Pestana Rovuma
498,Uchiza,PE,75.97,broken clouds,-8.4592,-76.4633,Hotel San Pedro
501,Gbadolite,CD,78.19,broken clouds,4.2833,21.0167,Zenic
502,Morondava,MG,80.02,few clouds,-20.2833,44.2833,La Case Bambou
507,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
508,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
512,Oranjestad,AW,78.98,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
514,Bonoua,CI,82.02,clear sky,5.2741,-3.595,Hotel Bon Samaritian
520,Caramay,PH,76.48,broken clouds,10.1815,119.236,Peace and Love Beach Club
524,Honiara,SB,78.03,overcast clouds,-9.4333,159.95,Heritage Park Hotel
531,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
538,Kiunga,PG,84.97,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
539,Karratha,AU,86.52,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
547,Auki,SB,77.16,overcast clouds,-8.7676,160.7034,Auki Motel
548,Buin,CL,77.32,scattered clouds,-33.7333,-70.75,Paihuen
553,Soyo,AO,77.43,overcast clouds,-6.1349,12.3689,Hotel Mpampa
560,Mlonggo,ID,78.69,overcast clouds,-6.5333,110.7,Asia Metal Art
586,Boa Vista,BR,85.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
593,Fare,PF,81.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
610,Takoradi,GH,79.56,clear sky,4.8845,-1.7554,Raybow International Hotel
611,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
616,Lorengau,PG,82.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
620,Tutoia,BR,82.38,overcast clouds,-2.7619,-42.2744,Pousada Guará's
622,Valdez,EC,77.9,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
627,Trairi,BR,78.85,overcast clouds,-3.2778,-39.2689,janelas do mar
631,Nisia Floresta,BR,81.41,few clouds,-6.0911,-35.2086,Rancho Crepusculo
634,Chiriguana,CO,86.2,clear sky,9.3624,-73.6031,Zapatosa Red Turística
638,Lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
639,Kavaratti,IN,78.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
640,Oriximina,BR,77.11,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
644,Dhidhdhoo,MV,80.11,clear sky,6.8833,73.1,Dhidhoo beach
646,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
647,Banda Aceh,ID,77.94,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
648,Daru,PG,83.35,overcast clouds,-9.0763,143.2092,Daru Lodge
653,San Juan,AR,85.82,few clouds,-31.5375,-68.5364,Hotel Provincial
656,Malakal,SS,77.74,overcast clouds,9.5334,31.6605,Nile Palace Hotel
662,Kathu,TH,76.82,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
665,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333,
668,Itarema,BR,80.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
671,Grand Gaube,MU,81,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
685,Waingapu,ID,81.75,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
686,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
691,Florianopolis,BR,76.23,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
692,Petatlan,MX,84,clear sky,17.5167,-101.2667,Hotel California Petatlán
693,Jacqueville,CI,82.31,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
695,Le Port,RE,80.56,heavy intensity rain,-20.9373,55.2919,KORBEY D'OR OUEST
697,Nhulunbuy,AU,83.37,light rain,-12.2333,136.7667,East Arnhem Real Estate
701,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
