City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
0,New Norfolk,-42.7826,147.0587,66.65,45,11,1.99,few clouds,AU
1,Atuona,-9.8,-139.0333,78.75,74,9,15.21,clear sky,PF
2,Saint-Francois,46.4154,3.9054,40.68,81,100,6.91,overcast clouds,FR
3,Okhotsk,59.3833,143.3,2.71,74,76,17.94,broken clouds,RU
4,Fortuna,40.5982,-124.1573,59.18,69,0,4,clear sky,US
5,Ponta Do Sol,32.6667,-17.1,68,78,46,3.85,scattered clouds,PT
6,Luwuk,-0.9516,122.7875,78.87,74,100,3.11,overcast clouds,ID
7,Ushuaia,-54.8,-68.3,44.26,70,75,17.27,broken clouds,AR
8,Mataura,-46.1927,168.8643,52.48,99,100,2.37,heavy intensity rain,NZ
9,Vardo,70.3705,31.1107,21.4,63,100,12.77,light snow,NO
10,Bedesa,8.9,40.7833,59.56,51,41,3.51,scattered clouds,ET
11,Rikitea,-23.1203,-134.9692,77.72,75,100,16.71,light rain,PF
12,Punta Arenas,-53.15,-70.9167,50.11,50,0,12.66,clear sky,CL
13,Cabo San Lucas,22.8909,-109.9124,73.94,55,20,3,few clouds,MX
14,Kodiak,57.79,-152.4072,42.31,81,100,8.05,mist,US
15,Esperance,-33.8667,121.9,66.04,71,0,17,clear sky,AU
16,Ostrovnoy,68.0531,39.5131,13.62,92,100,5.1,overcast clouds,RU
17,Vaini,-21.2,-175.2,86.16,79,40,8.05,scattered clouds,TO
18,Yellowknife,62.456,-114.3525,-20.7,83,48,5.01,scattered clouds,CA
19,Sabang,5.8933,95.3214,81.93,70,31,9.31,scattered clouds,ID
20,Salalah,17.0151,54.0924,69.89,78,0,2.3,clear sky,OM
21,Hobart,-42.8794,147.3294,67.01,57,40,6.91,scattered clouds,AU
22,Avarua,-21.2078,-159.775,84.25,74,20,18.41,few clouds,CK
23,Izhma,65.0083,53.9113,15.17,97,100,4.27,overcast clouds,RU
24,Geraldton,-28.7667,114.6,84.13,21,0,4.61,clear sky,AU
25,Hilo,19.7297,-155.09,80.33,68,0,6.91,clear sky,US
26,Pasighat,28.0667,95.3333,53.01,66,90,3.96,overcast clouds,IN
27,Lebu,-37.6167,-73.65,61.54,88,93,12.17,overcast clouds,CL
28,Tiksi,71.6872,128.8694,-10.17,100,100,7.4,overcast clouds,RU
29,Cabo Rojo,18.0866,-67.1457,78.67,88,61,1.01,broken clouds,PR
30,Qaanaaq,77.484,-69.3632,-13.25,61,100,7.4,overcast clouds,GL
31,Zhigansk,66.7697,123.3711,-31.58,99,99,1.74,overcast clouds,RU
32,East London,-33.0153,27.9116,70.79,84,100,14.25,light rain,ZA
33,Mao,39.8885,4.2658,50.56,93,20,4.61,fog,ES
34,Ahualulco,22.4,-101.1667,73.22,16,80,24.52,broken clouds,MX
35,Sekoma,-24.4,23.8833,72.52,75,93,3.51,light rain,BW
36,Royan,45.6285,-1.0281,48.85,87,100,7.34,overcast clouds,FR
37,Chimbote,-9.0853,-78.5783,72.81,77,76,10.07,broken clouds,PE
38,Ermelo,-26.5333,29.9833,59.13,90,44,3.29,light rain,ZA
39,Pangnirtung,66.1451,-65.7125,-11.29,99,100,5.97,overcast clouds,CA
40,Severo-Kurilsk,50.6789,156.125,30.94,83,100,9.53,overcast clouds,RU
41,Paraul,42.7419,47.3553,32.54,53,100,1.63,overcast clouds,RU
42,Nikolskoye,59.7035,30.7861,1.29,100,98,1.1,overcast clouds,RU
43,Upernavik,72.7868,-56.1549,2.05,66,100,4,overcast clouds,GL
44,Aykhal,66,111.5,-21.08,100,100,2.15,overcast clouds,RU
45,Bathsheba,13.2167,-59.5167,77.61,65,20,13.8,few clouds,BB
46,Marsh Harbour,26.5412,-77.0636,73.24,65,74,18.19,broken clouds,BS
47,Hithadhoo,-0.6,73.0833,81.18,72,90,8.32,overcast clouds,MV
48,Port Elizabeth,-33.918,25.5701,68.29,68,0,16.11,clear sky,ZA
49,Ilsede,52.2667,10.2,44.74,83,100,4,overcast clouds,DE
50,Nantucket,41.2835,-70.0995,46.51,100,100,8.05,fog,US
51,Pemangkat,1.1667,108.9667,75.7,91,100,6.4,overcast clouds,ID
52,Dikson,73.5069,80.5464,-14.26,98,99,5.7,overcast clouds,RU
53,Mahebourg,-20.4081,57.7,80.89,89,75,25.32,broken clouds,MU
54,Oranjemund,-28.55,16.4333,64.29,87,10,17.69,clear sky,NA
55,Luohe,33.5717,114.0353,31.17,68,3,3.6,clear sky,CN
56,Vanavara,60.34,102.2797,11.55,94,100,8.99,light snow,RU
57,Puerto Ayora,-0.7393,-90.3518,76.55,88,16,7,few clouds,EC
58,Sao Filipe,14.8961,-24.4956,74.21,72,0,7.61,clear sky,CV
59,Pacifica,37.6138,-122.4869,66.61,60,75,3.44,broken clouds,US
60,Vorobyevka,50.6451,40.9245,32.09,99,100,7.38,light snow,RU
61,Ilek,51.5271,53.3831,23.85,93,100,8.3,overcast clouds,RU
62,Quelimane,-17.8786,36.8883,73.99,92,10,4.38,clear sky,MZ
63,Bay Roberts,47.5999,-53.2648,37.33,82,100,10,overcast clouds,CA
64,Meadow Lake,34.8014,-106.5436,28.47,59,65,4.52,broken clouds,US
65,Nuuk,64.1835,-51.7216,16.41,73,75,8.05,light shower snow,GL
66,Fereydun Kenar,36.6864,52.5225,54.91,56,100,4.45,overcast clouds,IR
