City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Les Cayes,18.2,-73.75,81.93,63,2,12.03,HT,2/2/2022 20:18
1,Dudinka,69.4058,86.1778,-8.01,100,95,5.5,RU,2/2/2022 20:18
2,Severo-Kurilsk,50.6789,156.125,26.29,83,95,6.87,RU,2/2/2022 20:18
3,Punta Arenas,-53.15,-70.9167,51.82,87,75,10.36,CL,2/2/2022 20:15
4,Kapaa,22.0752,-159.319,78.78,70,20,1.01,US,2/2/2022 20:18
5,Atuona,-9.8,-139.0333,77.49,79,93,15.7,PF,2/2/2022 20:15
6,Mataura,-46.1927,168.8643,57.47,98,100,4.47,NZ,2/2/2022 20:18
7,Mgandu,-5.95,34.1333,61.54,95,100,1.36,TZ,2/2/2022 20:18
8,Tuktoyaktuk,69.4541,-133.0374,-27.4,75,40,10.36,CA,2/2/2022 20:18
9,Albany,42.6001,-73.9662,45.73,72,89,1.99,US,2/2/2022 20:15
10,Hilo,19.7297,-155.09,78.53,71,40,0,US,2/2/2022 20:18
11,Sao Joao Da Barra,-21.6403,-41.0511,75.29,85,99,9.15,BR,2/2/2022 20:15
12,Hobart,-42.8794,147.3294,53.46,76,40,6.91,AU,2/2/2022 20:15
13,Rikitea,-23.1203,-134.9692,77.94,74,100,5.93,PF,2/2/2022 20:14
14,Shenzhen,22.5455,114.0683,58.14,96,100,8.95,CN,2/2/2022 20:18
15,Hovd,48.0056,91.6419,-4.41,96,98,1.41,MN,2/2/2022 20:16
16,Luderitz,-26.6481,15.1594,67.73,80,61,0.83,NA,2/2/2022 20:13
17,Hambantota,6.1241,81.1185,73.08,83,8,12.08,LK,2/2/2022 20:18
18,Nikolskoye,59.7035,30.7861,22.89,99,99,1.1,RU,2/2/2022 20:18
19,Snasa,64.2457,12.3778,17.01,95,100,5.88,NO,2/2/2022 20:18
20,Lubango,-14.9172,13.4925,60.53,53,100,4.34,AO,2/2/2022 20:18
21,Batagay-Alyta,67.8006,130.4114,-24.92,99,67,2.75,RU,2/2/2022 20:18
22,Faanui,-16.4833,-151.75,80.71,75,18,16.98,PF,2/2/2022 20:17
23,Victoria,22.2855,114.1577,58.24,92,100,1.99,HK,2/2/2022 20:17
24,Ushuaia,-54.8,-68.3,47.86,57,75,17.27,AR,2/2/2022 20:18
25,Cidreira,-30.1811,-50.2056,78.3,78,0,15.59,BR,2/2/2022 20:18
26,Moose Factory,51.2585,-80.6094,-0.4,50,0,14.97,CA,2/2/2022 20:18
27,La Asuncion,11.0333,-63.8628,87.53,55,5,17.27,VE,2/2/2022 20:18
28,Yanai,33.9667,132.1167,39.58,56,100,5.14,JP,2/2/2022 20:18
29,Belyy Yar,53.6039,91.3903,-18.51,76,100,2.24,RU,2/2/2022 20:18
30,Norman Wells,65.282,-126.8329,-23.76,69,75,8.05,CA,2/2/2022 20:18
31,Pevek,69.7008,170.3133,-8.79,77,33,4.29,RU,2/2/2022 20:18
32,Busselton,-33.65,115.3333,66.04,49,100,15.1,AU,2/2/2022 20:18
33,Russell,32.3502,-85.1999,69.51,53,40,17.27,US,2/2/2022 20:15
34,Castro,-24.7911,-50.0119,75.94,71,40,1.25,BR,2/2/2022 20:17
35,Tabou,4.423,-7.3528,79.57,79,100,7.67,CI,2/2/2022 20:18
36,San Patricio,28.017,-97.5169,79.48,67,100,15.79,US,2/2/2022 20:18
37,Talnakh,69.4865,88.3972,-4.7,99,95,6.24,RU,2/2/2022 20:18
38,Kodiak,57.79,-152.4072,36.91,93,100,0,US,2/2/2022 20:18
39,Avera,33.194,-82.5271,65.71,65,82,7.67,US,2/2/2022 20:18
40,Kruisfontein,-34.0033,24.7314,69.89,91,100,8.21,ZA,2/2/2022 20:18
41,Pisco,-13.7,-76.2167,75.25,64,0,14.97,PE,2/2/2022 20:18
42,Tasiilaq,65.6145,-37.6368,12.36,71,100,6.87,GL,2/2/2022 20:18
43,Portland,45.5234,-122.6762,45.45,93,100,1.01,US,2/2/2022 20:17
44,Port Alfred,-33.5906,26.891,74.3,95,100,10.09,ZA,2/2/2022 20:18
45,New Norfolk,-42.7826,147.0587,53.1,73,55,1.01,AU,2/2/2022 20:18
46,Villa Bruzual,9.3328,-69.1208,92.59,34,77,5.7,VE,2/2/2022 20:18
47,Avarua,-21.2078,-159.775,82.45,78,75,17.27,CK,2/2/2022 20:18
48,Hermanus,-34.4187,19.2345,66.9,85,10,10.58,ZA,2/2/2022 20:15
49,Leningradskiy,69.3833,178.4167,-14.01,96,30,10.18,RU,2/2/2022 20:19
50,Butaritari,3.0707,172.7902,80.73,81,41,17.83,KI,2/2/2022 20:19
51,Prattville,32.464,-86.4597,69.4,51,100,14.97,US,2/2/2022 20:19
52,Jamestown,42.097,-79.2353,43.92,56,75,14.97,US,2/2/2022 20:19
53,Klaksvik,62.2266,-6.589,41.92,82,100,7.67,FO,2/2/2022 20:19
